number,mae,duration,params_colsample_bylevel,params_depth,params_l2_leaf_reg,params_learning_rate,params_model_size_reg,params_n_estimators,params_subsample
31,90.22217985205155,35.243253,0.6124420405630161,6,1.5878992042636756e-06,0.2547823755517615,18.626841424173143,83,0.7603525374577154
18,90.4593755000011,29.910718,0.7789495519562328,7,8.778445354984607e-06,0.36854574093370085,87.76056785826745,60,0.7724570462873751
28,90.82196387079274,67.932092,0.5713088536975216,10,1.315844172921464e-07,0.19331759820746663,98.11198524627619,131,0.8224418479715091
2,90.94295828509344,43.681333,0.8943770715725049,5,1.3730441303373621e-08,0.12879261001607978,0.5348921399315045,105,0.6824429919506861
23,91.66533154114353,27.018555,0.7278478342034772,8,3.2122522895196436e-05,0.22367122934024794,5.071705110690812,50,0.8001592210593809
25,92.04966660828241,34.404799,0.6700438037436128,8,3.634234951038241e-05,0.5593461983961979,1.5677590252572118,67,0.8149075689527941
21,92.05347401269468,40.666526,0.7380817691630117,7,3.1882708055754546e-06,0.4262095627960712,69.80412133841814,87,0.7293498936677915
15,92.63768849187072,38.544723,0.8715355184824153,5,3.3616516782981337e-07,0.26834755851374176,5.67093811142788,97,0.5012510771191889
24,93.05582247024579,32.456512,0.788141355606592,6,9.611346923057646e-07,0.556851327376764,9.7911730498843,67,0.7581559155221104
12,93.91253292996947,73.298753,0.9897387711218629,4,1.0966757530236343e-07,0.03869321551308571,0.07087517376047182,196,0.514342805330579
30,94.08463508649231,55.222361,0.39792017791740997,8,0.021993872475316575,0.10615350734832794,0.32922630197986213,137,0.6425280357993867
37,94.57233399606851,27.051367,0.6286793638678726,8,0.00012196489684255584,0.15375915130265674,0.9308773060586811,50,0.8801256074400695
38,95.61979457804485,32.677397,0.6814239570892108,9,0.0004061684256345188,0.2556329087286228,0.3082501431608565,62,0.7972702503987037
13,97.0571534676161,77.328215,0.850742708481511,4,4.0267329285530785e-07,0.034684328251203975,0.6186924644498274,199,0.7081919777961275
20,97.53738354438131,35.588342,0.531394861652628,8,9.822339132058194e-06,0.4770011219056729,6.129223979583201,76,0.7865505025618443
11,98.63509430629779,46.494848,0.9961681156077868,3,1.2748597505137663e-08,0.0681314013559292,0.023659797522978997,116,0.5038801278602372
35,98.95809229746108,57.951398,0.9044809465036041,9,1.4500359118872658e-05,0.7476418519094253,2.7508622172816173,105,0.8502576158784464
10,99.14030590987677,43.971035,0.9531075631846371,3,2.1617078884950046e-08,0.0677118899762313,0.007566181156973466,116,0.5280419970040271
6,99.39188633000833,23.985938,0.6052897720570581,6,0.0021532855697747755,0.21613642954370244,2.7116936676444644e-08,57,0.6648342228104576
0,101.25185644797455,27.925377,0.3453333447543775,5,0.7138152748525242,0.16996488374291047,0.6306059747250784,78,0.6382321275715483
39,101.55034386676617,75.354458,0.5680603640113908,10,8.505844182916573e-05,0.46553807832329985,12.27412633264464,152,0.6961620886950772
4,101.86024396665069,39.365686,0.22939014206310812,9,0.00023000339098683893,0.1329052434892829,1.0506944078490752,97,0.8521304855591677
34,105.53623960446727,53.480754,0.8400879846689264,10,4.044656502866864e-06,0.6416909079062233,19.724623294203422,90,0.7068909316176315
